bname,cname,no_votes
Ballymun A 2,Ellis,260
Ballymun A 3,Ellis,200
Ballymun A/B 1,Ellis,254
Ballymun B 1,Ellis,278
Ballymun B 2,Ellis,283
Ballymun B/D 1,Ellis,178
Ballymun D 1,Ellis,241
Ballymun D 2,Ellis,272
Ballymun C1 1,Ellis,357
Ballymun C1 2,Ellis,340
Ballymun C1 3,Ellis,343
Ballymun C1 4,Ellis,255
Ballymun E 1,Ellis,66
Ballymun E 2,Ellis,62
Ballymun C2 1,Ellis,154
Finglas Nth B 1,Ellis,271
Finglas Nth B 2,Ellis,323
Finglas Nth B 3,Ellis,338
Finglas Nth A 1,Ellis,321
Finglas Nth A 2,Ellis,309
Finglas Nth A 3,Ellis,292
Finglas Nth C 1,Ellis,208
Finglas Nth C 2,Ellis,170
Finglas Nth C 3,Ellis,181
Ballymun F/Fing Nth C/Bmun F 1,Ellis,109
Ballymun F 1,Ellis,123
Ballymun F 2,Ellis,127
Finglas Sth A 1,Ellis,238
Finglas Sth A 2,Ellis,271
Finglas Sth A 3,Ellis,303
Cappagh/Ballycoolen 1,Ellis,259
Finglas Sth B 1,Ellis,331
Finglas Sth B 2,Ellis,296
Finglas Sth B 3,Ellis,252
Finglas Sth C 1,Ellis,323
Finglas Sth C 2,Ellis,261
Finglas Sth C 3,Ellis,320
Finglas Sth D 1,Ellis,334
Finglas Sth D 2,Ellis,385
Whitehall A1 1,Ellis,24
Whitehall A1/D1 1,Ellis,22
Whitehall D1 1,Ellis,32
Whitehall A2 1,Ellis,51
Whitehall A2 2,Ellis,39
Whitehall B1 1,Ellis,90
Whitehall B2 2,Ellis,59
Whitehall B2 3,Ellis,120
Whitehall B2 4,Ellis,118
Whitehall B2/C 1,Ellis,60
Whitehll C pt 1,Ellis,55
Airport 3 1,Ellis,104
Turnapin 1,Ellis,125
NorthWood/Santry 1,Ellis,89
Whitehall C pt 1,Ellis,139
Beaumont A 1,Ellis,110
Beaumont A 2,Ellis,102
Beaumont A/WH D2 1,Ellis,103
Whitehall D2 1,Ellis,133
Postal 1,Ellis,61
Ballygall A 1,Fitzgerald,0
Ballygall A 2,Fitzgerald,0
Ballygall A 3,Fitzgerald,0
Ballygall B 1,Fitzgerald,0
Ballygall B 2,Fitzgerald,1
Finglas Nth 1,Fitzgerald,2
Charlestwn 1,Fitzgerald,0
Lanesbro 1,Fitzgerald,2
Lanesbro 2,Fitzgerald,0
Ballygall C 1,Fitzgerald,3
Ballygall C 2,Fitzgerald,3
Ballygall C 3,Fitzgerald,2
Ballygall C/D 1,Fitzgerald,5
Ballygall D 1,Fitzgerald,3
Ballygall D 2,Fitzgerald,2
Ballymun A 1,Fitzgerald,2
Ballymun A 2,Fitzgerald,1
Ballymun A 3,Fitzgerald,1
Ballymun A/B 1,Fitzgerald,2
Ballymun B 1,Fitzgerald,0
Ballymun B 2,Fitzgerald,0
Ballymun B/D 1,Fitzgerald,2
Ballymun D 1,Fitzgerald,0
Ballymun D 2,Fitzgerald,1
Ballymun C1 1,Fitzgerald,0
Ballymun C1 2,Fitzgerald,4
Ballymun C1 3,Fitzgerald,1
Ballymun C1 4,Fitzgerald,2
Ballymun E 1,Fitzgerald,2
Ballymun E 2,Fitzgerald,4
Ballymun C2 1,Fitzgerald,3
Finglas Nth B 1,Fitzgerald,0
